epoch     train_loss  valid_loss
1         5.829245    3.547552                                                                     
2         4.026223    3.422615                                                                     
3         3.226323    1.308305                                                                     
4         2.547087    1.319396                                                                     
5         1.972220    0.598958                                                                     
epoch     train_loss  valid_loss
1         1.002571    0.813525                                                                      
2         1.024351    2.604820                                                                      
3         1.017566    24.885502                                                                     
4         1.003523    2.404459                                                                      
5         0.995883    0.656201                                                                      
6         0.971752    14.656412                                                                     
7         0.960488    12.461646                                                                     
8         0.926284    16.625385                                                                     
9         0.915015    11.778154                                                                     
10        0.902560    2.447645    
